BEAM        RA(J2000)  DEC(J2000)
	    
PLMC076_06  05:00:41.5 -70:48:39.1 #05:19:05.7 -69:00:09.7
PLMC076_07  04:58:05.8 -70:22:35.7 #05:16:27.3 -69:25:37.9
PLMC076_08  04:55:33.1 -69:56:11.8 #05:13:42.6 -69:51:19.2
PLMC076_09  05:04:17.9 -69:33:31.7 #05:05:21.5 -69:25:19.4
PLMC076_10  05:12:38.9 -70:00:01.5 #05:05:38.7 -68:34:35.6
PLMC076_11  05:12:33.7 -70:50:46.6 #05:13:39.4 -68:09:48.7
PLMC076_12  05:03:23.9 -71:14:56.2 #05:21:41.5 -68:34:20.9
PLMC076_13  04:54:44.6 -70:46:47.1 #05:22:02.0 -69:25:04.1
PLMC080_01  05:08:56.0 -67:23:11.9
PLMC080_02  05:06:22.5 -67:48:20.8
PLMC080_03  05:03:53.4 -67:22:58.1
PLMC080_04  05:06:26.7 -66:57:58.0
PLMC080_05  05:11:24.0 -66:57:54.1
PLMC080_06  05:13:58.5 -67:22:50.2
PLMC080_07  05:11:30.6 -67:48:16.8
PLMC080_08  05:08:57.2 -68:13:57.1
PLMC080_09  05:01:11.2 -67:47:59.4
PLMC080_10  05:01:26.2 -66:57:15.4
PLMC080_11  05:08:54.8 -66:32:26.6
PLMC080_12  05:16:24.5 -66:57:03.7
PLMC080_13  05:16:41.9 -67:47:47.2
PLMC101_01  05:33:42.0 -69:33:18.0
PLMC101_02  05:28:08.9 -69:33:03.0
PLMC101_03  05:30:57.8 -69:08:04.0
PLMC101_04  05:36:24.5 -69:07:59.3
PLMC101_05  05:39:15.0 -69:32:53.4
PLMC101_06  05:36:32.6 -69:58:21.9
PLMC101_07  05:30:52.9 -69:58:26.8
PLMC101_08  05:25:09.4 -69:58:01.8
PLMC101_09  05:25:27.8 -69:07:18.1
PLMC101_10  05:33:40.4 -68:42:32.7
PLMC101_11  05:41:54.5 -69:07:04.0
PLMC101_12  05:42:16.0 -69:57:47.1
PLMC101_13  05:33:43.6 -70:24:03.2
PLMC102_01  05:36:21.9 -69:32:09.9
PLMC102_02  05:33:32.9 -69:57:18.4
PLMC102_03  05:30:49.2 -69:31:54.3
PLMC102_04  05:33:38.1 -69:06:55.6
PLMC102_05  05:39:04.5 -69:06:51.6
PLMC102_06  05:41:54.7 -69:31:46.0
PLMC102_07  05:39:12.4 -69:57:14.2
PLMC102_08  05:36:23.4 -70:22:55.2
PLMC102_09  05:27:49.8 -69:56:52.8
PLMC102_10  05:28:08.3 -69:06:09.1
PLMC102_11  05:36:20.6 -68:41:24.7
PLMC102_12  05:44:34.2 -69:05:57.0
PLMC102_13  05:44:55.4 -69:56:40.1
PLMC103a_01 05:34:51.0 -69:20:40.0
PLMC103a_02 05:29:21.2 -69:20:24.4
PLMC103a_03 05:32:08.5 -68:55:25.7
PLMC103a_04 05:37:32.1 -68:55:21.7
PLMC103a_05 05:40:20.7 -69:20:16.3
PLMC103a_06 05:37:39.8 -69:45:44.3
PLMC103a_07 05:32:03.4 -69:45:48.5
PLMC103a_08 05:26:23.4 -69:45:23.2
PLMC103a_09 05:26:41.6 -68:54:39.5
PLMC103a_10 05:34:49.7 -68:29:54.7
PLMC103a_11 05:42:58.9 -68:54:27.5
PLMC103a_12 05:43:19.8 -68:45:10.7
PLMC103a_13 05:34:52.3 -70:11:25.2
PLMC103b_01 05:34:51.0 -69:20:40.0
PLMC103b_02 05:29:21.2 -69:20:25.7
PLMC103b_03 05:32:08.3 -68:55:26.3
PLMC103b_04 05:37:31.9 -68:55:21.1
PLMC103b_05 05:40:20.7 -69:20:15.0
PLMC103b_06 05:37:40.0 -69:45:43.7
PLMC103b_07 05:32:03.7 -69:45:49.1
PLMC103b_08 05:26:23.6 -69:45:25.1
PLMC103b_09 05:26:41.4 -68:54:41.4
PLMC103b_10 05:34:49.3 -68:29:54.7
PLMC103b_11 05:42:58.7 -68:54:25.7
PLMC103b_12 05:43:20.0 -69:45:08.7
PLMC103b_13 05:34:52.8 -70:11:25.2
PLMC104_01  05:32:13.0 -69:21:42.9
PLMC104_02  05:26:42.9 -69:21:26.8
PLMC104_03  05:29:30.5 -68:56:28.4
PLMC104_04  05:34:54.3 -68:56:24.9
PLMC104_05  05:37:43.0 -69:21:19.7
PLMC104_06  05:35:01.9 -69:46:47.5
PLMC104_07  05:29:25.2 -69:46:51.1
PLMC104_08  05:23:44.9 -69:46:25.3
PLMC104_09  05:24:03.3 -68:55:41.7
PLMC104_10  05:32:11.8 -68:30:57.6
PLMC104_11  05:40:21.4 -68:55:31.2
PLMC104_12  05:40:42.1 -68:46:14.3
PLMC104_13  05:32:14.2 -70:12:28.1
PLMC005_01  04:24:48.0 -69:09:56.1
PLMC005_02  04:22:02.4 -69:35:06.1
PLMC005_03  04:19:20.9 -69:09:43.7
PLMC005_04  04:22:06.4 -68:44:43.4
PLMC005_05  04:27:27.3 -68:44:36.4
PLMC005_06  04:30:15.1 -69:09:29.6
PLMC005_07  04:27:35.9 -69:34:58.0
PLMC005_08  04:24:50.4 -70:00:41.3
PLMC005_09  04:16:25.2 -69:34:44.3
PLMC005_10  04:16:42.1 -68:44:00.5
PLMC005_11  04:24:45.8 -68:19:10.9
PLMC005_12  04:32:51.6 -68:43:39.6
PLMC005_13  04:33:13.0 -69:34:22.6
PLMC006_01  04:27:23.0 -69:12:41.1
PLMC006_02  04:21:55.2 -69:12:28.0
PLMC006_03  04:24:41.2 -68:47:28.0
PLMC006_04  04:30:02.8 -68:47:21.8
PLMC006_05  04:32:50.7 -69:12:15.2
PLMC006_06  04:30:11.2 -69:37:44.3
PLMC006_07  04:24:36.9 -69:37:50.8
PLMC006_08  04:18:59.0 -69:37:28.2
PLMC006_09  04:19:16.2 -68:46:44.5
